Titel,Autor,ISBN,Erscheinungsjahr,Auflage,Zustand,Verlag,Preis,Bestand,Status,Leihfrist
"Mädchen der Onkel, ['Wissenschaft']",Harold Dussen van,978-0-453-49625-4,23091933,6,[],Verlagsgruppe Weltbild,21.15,1,['verliehen'],28
"Unter der Gott, ['Krimis & Thriller']",Mirko Rogner,0-518-69822-X,25051885,7,[],Münchener Verlagsgruppe,26.92,2,[],14
"Brief der Richtig, ['Wissenschaft']",Annegrete Gieß,978-0-7508-6002-4,23021899,20,"['Sehr gut', 'Beschädigt', 'In Ordnung', 'Neu']",Verlagsgruppe Georg von Holtzbrinck,49.13,4,"['rot', 'verliehen', 'rot', 'verfügbar']",28
"Wald der Lernen, ['Krimis & Thriller']","Atzler, Janna",978-0-926389-50-2,04061906,2,"['Neu', 'In Ordnung', 'Sehr gut', 'In Ordnung', 'Gut', 'Verloren', 'Sehr gut', 'Beschädigt']",Verlagsgruppe Herder,50.34,8,"['rot', 'verfügbar', 'verfügbar', 'vorgemerkt', 'vorgemerkt', 'verliehen', 'gelb', 'vorgemerkt']",14
"Dich der Ziehen, ['Belletristik']",Dajana Oderwald,978-0-496-82024-5,26011988,3,"['Unvollständig', 'Neu']",Hans Gerig Musikverlage,13.23,2,"['rot', 'ausgeliehen']",14
"Bett der Hin, ['Biografien']",Ehrenfried Wesack,978-1-85265-000-1,31081971,1,"['Gut', 'Sehr gut', 'Gut', 'In Ordnung']",C.H. Beck,21.89,4,"['grün', 'verfügbar', 'verfügbar', 'verfügbar']",21
"Gewinnen der Spät, ['Computer & IT']",Mariana Peukert,978-0-538-17900-3,07011960,2,['Unvollständig'],Thienemann-Esslinger,43.08,1,['verliehen'],28
"Dort der Dort, ['Psychologie', 'Belletristik']",Irmengard Wesack,978-0-518-21725-1,13031906,9,['Gut'],Springer Fachmedien,20.66,2,"['verfügbar', 'grün']",14
"Freuen der Leute, ['Sachbücher', 'Biografien']",Hinrich Gehringer,978-0-8180-2072-8,19900729,6,"['Beschädigt', 'Neu', 'Gut', 'Neu']",Diederichs Verlag,24.27,4,"['verfügbar', 'verfügbar', 'verfügbar', 'verfügbar']",21
"Eigentlich der Eigentlich, ['Sport']","Atzler, Marieluise",978-0-7623-2055-4,02101898,2,"['Gut', 'Gut']",Bonnier Verlagsgruppe,18.91,2,[],14
"Sofort der Dein, ['Technik']",Cindy Pärtzelt,978-1-86511-739-3,20071952,8,"['Neu', 'Neu', 'Beschädigt']",Verlagsgruppe Herder,40.72,3,['verfügbar'],28
"Tante der Los, ['Computer & IT']",Eckehard Aumann,978-1-942880-46-2,18101880,6,"['Gut', 'Neu', 'Gut', 'Sehr gut', 'Gut', 'Gut', 'Neu', 'Sehr gut']",Hubert Burda Media,37.23,8,"['rot', 'vorgemerkt', 'verliehen', 'rot', 'verfügbar', 'rot', 'verloren', 'verfügbar']",28
"Sieben der Lehrerin, ['Kinder- und Jugendbücher', 'Belletristik']",Hans-Christian Scholtz,978-0-250-47564-3,13101910,9,"['In Ordnung', 'Beschädigt', 'Beschädigt', 'Sehr gut', 'Neu']",Beltz & Gelberg,40.4,6,"['grün', 'rot', 'grün', 'grün', 'verfügbar', 'grün']",14
"Nimmt der Wahr, ['Belletristik']",Caren Heinrich,0-470-35201-9,18781220,6,"['Abgenutzt', 'Gut', 'Ausgemustert', 'Abgenutzt', 'Neu', 'Gut', 'Ausgemustert', 'Neu']",Verlagsgruppe Weltbild,3191,8,"['rot', 'verfügbar', 'verfügbar', 'grün']",14
"Gehen der Heißen, ['Kinder- und Jugendbücher', 'Belletristik']","Köhler, Angela",978-1-72453-456-9,06032021,5,"['Neu', 'Gut', 'Neu', 'Beschädigt', 'Sehr gut', 'Ausgemustert', 'Sehr gut', 'Gut']",SingLiesel Verlag,31.38,8,"['vorgemerkt', 'grün', 'rot', 'rot', 'rot', 'verliehen', 'verfügbar', 'verfügbar']",14
"Dich der Dafür, ['Belletristik']",Inga Pärtzelt,978-1-321-24356-7,24021902,20,"['Gut', 'Sehr gut', 'Sehr gut', 'Neu', 'Sehr gut', 'Neu', 'Neu', 'Gut', 'Abgenutzt']",Reclam Verlag,40.26,9,"['rot', 'verfügbar', 'rot', 'rot', 'verliehen', 'verliehen', 'verfügbar']",14 Tage
"Müssen der Maus, ['Kinder- und Jugendbücher']",Andre Lehmann,978-1-65031-729-8,17111902,6,"['Sehr gut', 'Sehr gut', 'Neu']",C.H. Beck,29.81,8,"['verfügbar', 'verfügbar', 'rot', 'verfügbar', 'rot', 'vorgemerkt']",14
"Stark der Lustig, ['Belletristik', 'Gesundheit']",Milan Rudolph,978-0-401-18388-5,13021946,2,['Neu'],Ullstein Buchverlage,53.11,1,['verliehen'],21
"Halten der Schicken, ['Kinder- und Jugendbücher', 'Kinder- und Jugendbücher']",Falko Sontag,978-1-927670-50-7,10121992,2,"['Sehr gut', 'Beschädigt', 'Abgenutzt', 'Abgenutzt', 'In Ordnung', 'Beschädigt', 'In Ordnung']",Eulenspiegel Verlagsgruppe,56.59,7,"['gelb', 'verfügbar', 'verfügbar', 'rot', 'verfügbar', 'verfügbar', 'verliehen']",14
"Müssen der Da, ['Geschichte']",Falko Atzler,978-1-77055-642-3,14071959,1,"['Beschädigt', 'Neu', 'Neu', 'In Ordnung', 'Verloren', 'Beschädigt', 'Gut', 'In Ordnung', 'Sehr gut']",Rowohlt Verlag,30.87,9,"['rot', 'verliehen']",unbekannt
"Lernen der Lachen, ['Philosophie']",Anni Gehringer,978-0-19-200438-3,06121887,4,"['Neu', 'Sehr gut', 'Verloren', 'Gut', 'Beschädigt', 'Sehr gut', 'In Ordnung', 'Neu', 'Sehr gut']",Hans Gerig Musikverlage,41.63,9,"['verfügbar', 'vorgemerkt', 'vorgemerkt', 'verfügbar', 'verliehen']",28
"Schenken der Sich, ['Kinder- und Jugendbücher']",Wanda Käster,978-1-335-26983-6,30111903,2,"['Neu', 'Beschädigt', 'Gut', 'In Ordnung', 'Abgenutzt', 'Beschädigt', 'Gut', 'Gut', 'Neu']",CARLSEN VERLAG,28.95,9,"['rot', 'verfügbar', 'rot', 'rot', 'verfügbar', 'verfügbar', 'grün', 'verloren', 'grün']",14
"Zwei der Fährt, ['Kinder- und Jugendbücher']","Austermühle, Hannelore",978-0-311-81149-6,20111906,9,"['Abgenutzt', 'In Ordnung', 'Abgenutzt', 'Sehr gut', 'Neu', 'Unvollständig', 'Gut', 'Verloren', 'Abgenutzt']",Ernst Klett Verlag,31.73,9,"['verfügbar', 'verfügbar', 'grün', 'rot', 'gelb', 'rot', 'rot', 'rot', 'verliehen']",14
